Expected,lang_tokenizer,spacy,nltk,language_tool
будь-який,будь - який,будь - який,-,-
бозна-що,бозна - що,бозна - що,-,-
2022-му,-,-,-,-
№11,№ 11,№ 11,-,№ 11
22:37,22 : 37,-,-,-
18.05.2021,-,-,-,-
15-21,-,15 - 21,-,-
37-річна,-,-,-,-
rename@city.kharkiv.ua,-,-,rename @ city.kharkiv.ua,-
+38 (095) 568 38 77,+38 ( 095 ) 568 38 77,+38 ( 095 ) 568 38 77,+38 ( 095 ) 568 38 77,+ 38 ( 095 ) 568 38 77
"$1,461","$ 1,461","$ 1,461","$ 1,461","$ 1,461"
-21°С,-21 С,-21 ° С,-,- 21 ° С
-11,-,-,-,- 11
м.,м .,-,м .,м .
вул.,вул .,-,вул .,вул .
пл.,пл .,-,пл .,-
ред.,ред .,ред .,ред .,-
під'їздів,-,-,-,-
"№3,4","№ 3,4","№ 3,4",-,"№ 3,4"
№1-4,№ 1-4,№ 1 - 4,-,№ 1-4
м/с,м / с,м / с,-,м / с
"234,5",-,-,-,-
м²,-,-,-,м ²
~100,~ 100,-,-,~ 100
км²/місяць,км² / місяць,-,-,км ² / місяць
1 000 000,1 000 000,1 000 000,1 000 000,-
Results,34.62%,53.85%,69.23%,50.00%
